band,pair,subject,polarity,delta_rad,conc_ictal,conc_inter,n_ictal_windows,n_inter_windows
theta,FP1-F7|F7-T7,chb01,standard,+0.1888,0.9845,0.8844,7,10
theta,FP1-F7|F7-T7,chb03,inverted,-2.1345,0.8772,0.6486,7,10
theta,FP1-F7|F7-T7,chb05,standard,-0.0367,0.9744,0.8664,5,10
theta,FP1-F7|F7-T7,chb07,standard,+0.3023,0.9846,0.9739,3,10
theta,FP1-F7|F7-T7,chb11,inverted,-0.0316,0.9974,0.8005,3,10
theta,FP1-F7|F7-T7,chb14,standard,+0.6093,0.9454,0.5733,8,10
theta,FP1-F7|F7-T7,chb21,inverted,-0.3627,0.9671,0.8446,4,10
theta,FP1-F7|FP1-F3,chb01,standard,+0.4700,0.9970,0.9953,7,10
theta,FP1-F7|FP1-F3,chb03,inverted,+1.1996,0.9608,0.4541,7,10
theta,FP1-F7|FP1-F3,chb05,standard,+0.5135,0.9538,0.7743,5,10
theta,FP1-F7|FP1-F3,chb07,standard,+0.0701,0.9865,0.9897,3,10
theta,FP1-F7|FP1-F3,chb11,inverted,-2.4790,0.9354,0.9099,3,10
theta,FP1-F7|FP1-F3,chb14,standard,-0.5797,0.9595,0.6990,8,10
theta,FP1-F7|FP1-F3,chb21,inverted,+0.1362,0.9908,0.7897,4,10
theta,FP1-F7|F3-C3,chb01,standard,-0.2783,0.9820,0.9468,7,10
theta,FP1-F7|F3-C3,chb03,inverted,+0.5660,0.5133,0.9785,7,10
theta,FP1-F7|F3-C3,chb05,standard,-0.1163,0.9802,0.9808,5,10
theta,FP1-F7|F3-C3,chb07,standard,+0.2337,0.9835,0.9867,3,10
theta,FP1-F7|F3-C3,chb11,inverted,-0.2316,0.9603,0.8440,3,10
theta,FP1-F7|F3-C3,chb14,standard,+0.3137,0.9562,0.9822,8,10
theta,FP1-F7|F3-C3,chb21,inverted,-0.1320,0.9917,0.9847,4,10
theta,FP1-F7|FP2-F8,chb01,standard,+0.3352,0.9636,0.9779,7,10
theta,FP1-F7|FP2-F8,chb03,inverted,+1.2997,0.2797,0.9733,7,10
theta,FP1-F7|FP2-F8,chb05,standard,+0.0637,0.9703,0.9876,5,10
